id,cpe_vendor,cpe_product,cpe_version,deb_codename
1,debian,debian_linux,13,trixie
2,debian,debian_linux,12,bookworm
3,debian,debian_linux,,
4,debian,debian_linux,11,bullseye
5,debian,debian_linux,10,buster
6,debian,debian_linux,9,stretch
7,debian,debian_linux,8,jessie
8,debian,debian_linux,7,wheezy
9,debian,debian_linux,6.0,squeeze
10,debian,debian_linux,5.0,lenny
11,debian,debian_linux,4.0,etch
12,debian,debian_linux,3.1,sarge
13,debian,debian_linux,3.0,woody
14,sap,gardenlinux,today,today
15,sap,gardenlinux,1592.4,1592.4
16,sap,gardenlinux,1592.5,1592.5
17,sap,gardenlinux,1592.6,1592.6
18,sap,gardenlinux,1592.7,1592.7
19,sap,gardenlinux,1443.18,1443.18
20,sap,gardenlinux,1443.19,1443.19
21,sap,gardenlinux,1592.8,1592.8
22,sap,gardenlinux,1592.9,1592.9
23,sap,gardenlinux,1443.20,1443.20
24,sap,gardenlinux,1443.21,1443.21
25,sap,gardenlinux,1592.10,1592.10
